idx,lon,lat
0,6.85,50.17
1,2.97,45.775
2,2.53,42.17
3,-4.02,38.87
4,10.87,43.25
5,11.93,42.6
6,12.7,41.73
7,14.139,40.827
8,14.426,40.821
9,13.897,40.73
10,14.83,39.48
11,15.213,38.789
12,15.07,38.63
13,14.95,38.48
14,14.962,38.404
15,15.004,37.734
16,12.7,37.1
17,12.02,36.77
18,11.63,42.9
19,23.336,37.615
20,24.439,36.699
21,25.396,36.404
22,27.16,36.586
23,27.14,36.671
24,27.251,36.852
25,28.52,38.58
26,33.65,37.67
27,34.17,38.13
28,34.57,38.25
29,34.52,38.57
30,35.48,38.52
31,39.83,37.67
32,42.23,38.65
33,42.82,38.92
34,43.217,39.192
35,43.87,39.37
36,44.3,39.7
37,43.25,40.75
38,42.442,43.351
39,44.5,42.7
40,43.6,41.55
41,44.2,40.53
42,44.75,40.275
43,45.542,39.7
44,45.78,40.02
45,46.02,39.73
46,41.83,15.55
47,42.18,15.05
48,42.75,14.02
49,42.73,13.72
50,39.82,15.042
51,39.92,14.88
52,40.3,14.242
53,40.408,13.975
54,40.508,13.825
55,40.55,13.792
56,40.6,13.725
57,40.67,13.6
58,40.63,13.52
59,40.72,13.5
60,41.808,13.58
61,41.7,13.37
62,41.65,13.27
63,41.725,13.18
64,41.6,13.07
65,41.15,13.1
66,41.07,13.28
67,40.98,13.3
68,40.85,13.08
69,40.2,13.02
70,40.57,12.88
71,40.48,12.6
72,40.07,12.38
73,40.82,12.17
74,40.25,11.73
75,41.208,11.88
76,41.45,11.63
77,42.2,12.38
78,42.4,12.47
79,42.53,12.55
80,42.43,12.95
81,42.47,11.58
82,41.48,11.75
83,41.63,11.28
84,41.27,11.08
85,41.042,10.58
86,40.702,10.082
87,40.84,10.07
88,40.33,9.78
89,40.28,9.57
90,40.13,9.35
91,39.93,8.975
92,39.75,8.95
93,39.692,8.8
94,39.63,8.7
95,39.475,8.558
96,38.98,8.78
97,38.95,8.62
98,39.35,8.43
99,39.18,8.35
100,39.03,8.27
101,39.13,8.158
102,39.07,8.07
103,38.93,7.95
104,38.35,8.05
105,38.78,7.77
106,38.58,7.47
107,38.43,7.18
108,38.1,7.07
109,35.43,7.42
110,37.83,6.78
111,38.12,6.65
112,37.57,5.93
113,37.67,5.65
114,35.88,5.1
115,37.42,4.08
116,36.05,4.07
117,36.042,3.5
118,36.6,2.63
119,37.97,2.32
120,36.57,2.32
121,36.43,1.98
122,37.9,1.57
123,36.33,1.5
124,36.23,1.15
125,36.18,0.92
126,36.12,0.77
